"Service Layer ID","feature desc","PMAID"
"0","Adult Fitness Equipment","345"
"0","Adult Fitness Equipment","358"
"0","Adult Fitness Equipment","376"
"0","Adult Fitness Equipment","422"
"0","Adult Fitness Equipment","4242"
"0","Adult Fitness Equipment","4243"
"0","Adult Fitness Equipment","4263"
"0","Adult Fitness Equipment","429"
"0","Adult Fitness Equipment","431"
"0","Adult Fitness Equipment","435"
"0","Adult Fitness Equipment","4450"
"0","Adult Fitness Equipment","4456"
"0","Adult Fitness Equipment","450"
"0","Adult Fitness Equipment","456"
"34","Art in the Park","1104"
"34","Art in the Park","1106"
"34","Art in the Park","114"
"34","Art in the Park","200"
"34","Art in the Park","243"
"34","Art in the Park","244"
"34","Art in the Park","250"
"34","Art in the Park","253"
"34","Art in the Park","264"
"34","Art in the Park","287"
"34","Art in the Park","291"
"34","Art in the Park","293"
"34","Art in the Park","298"
"34","Art in the Park","306"
"34","Art in the Park","307"
"34","Art in the Park","309"
"34","Art in the Park","3102"
"34","Art in the Park","311"
"34","Art in the Park","312"
"34","Art in the Park","3149"
"34","Art in the Park","320"
"34","Art in the Park","323"
"34","Art in the Park","325"
"34","Art in the Park","326"
"34","Art in the Park","327"
"34","Art in the Park","336"
"34","Art in the Park","338"
"34","Art in the Park","340"
"34","Art in the Park","342"
"34","Art in the Park","344"
"34","Art in the Park","353"
"34","Art in the Park","358"
"34","Art in the Park","362"
"34","Art in the Park","364"
"34","Art in the Park","373"
"34","Art in the Park","3881"
"34","Art in the Park","390"
"34","Art in the Park","3909"
"34","Art in the Park","3923"
"34","Art in the Park","393"
"34","Art in the Park","3941"
"34","Art in the Park","398"
"34","Art in the Park","399"
"34","Art in the Park","3996"
"34","Art in the Park","4011"
"34","Art in the Park","4029"
"34","Art in the Park","4034"
"34","Art in the Park","406"
"34","Art in the Park","419"
"34","Art in the Park","4242"
"34","Art in the Park","4263"
"34","Art in the Park","4278"
"34","Art in the Park","428"
"34","Art in the Park","431"
"34","Art in the Park","433"
"34","Art in the Park","434"
"34","Art in the Park","435"
"34","Art in the Park","436"
"34","Art in the Park","4404"
"34","Art in the Park","4418"
"34","Art in the Park","4445"
"34","Art in the Park","4446"
"34","Art in the Park","445"
"34","Art in the Park","4450"
"34","Art in the Park","446"
"34","Art in the Park","4465"
"34","Art in the Park","447"
"34","Art in the Park","4486"
"34","Art in the Park","450"
"34","Art in the Park","457"
"34","Art in the Park","460"
"34","Art in the Park","468"
"34","Art in the Park","476"
"34","Art in the Park","488"
"34","Art in the Park","496"
"34","Art in the Park","497"
"34","Art in the Park","592"
"2","Baseball/Softball Fields","114"
"2","Baseball/Softball Fields","241"
"2","Baseball/Softball Fields","242"
"2","Baseball/Softball Fields","248"
"2","Baseball/Softball Fields","251"
"2","Baseball/Softball Fields","288"
"2","Baseball/Softball Fields","289"
"2","Baseball/Softball Fields","292"
"2","Baseball/Softball Fields","303"
"2","Baseball/Softball Fields","307"
"2","Baseball/Softball Fields","3102"
"2","Baseball/Softball Fields","316"
"2","Baseball/Softball Fields","319"
"2","Baseball/Softball Fields","329"
"2","Baseball/Softball Fields","330"
"2","Baseball/Softball Fields","340"
"2","Baseball/Softball Fields","352"
"2","Baseball/Softball Fields","353"
"2","Baseball/Softball Fields","361"
"2","Baseball/Softball Fields","3703"
"2","Baseball/Softball Fields","373"
"2","Baseball/Softball Fields","376"
"2","Baseball/Softball Fields","380"
"2","Baseball/Softball Fields","382"
"2","Baseball/Softball Fields","3881"
"2","Baseball/Softball Fields","3887"
"2","Baseball/Softball Fields","391"
"2","Baseball/Softball Fields","3941"
"2","Baseball/Softball Fields","397"
"2","Baseball/Softball Fields","3972"
"2","Baseball/Softball Fields","398"
"2","Baseball/Softball Fields","400"
"2","Baseball/Softball Fields","402"
"2","Baseball/Softball Fields","406"
"2","Baseball/Softball Fields","410"
"2","Baseball/Softball Fields","414"
"2","Baseball/Softball Fields","418"
"2","Baseball/Softball Fields","422"
"2","Baseball/Softball Fields","423"
"2","Baseball/Softball Fields","431"
"2","Baseball/Softball Fields","435"
"2","Baseball/Softball Fields","439"
"2","Baseball/Softball Fields","444"
"2","Baseball/Softball Fields","446"
"2","Baseball/Softball Fields","4486"
"2","Baseball/Softball Fields","450"
"2","Baseball/Softball Fields","452"
"2","Baseball/Softball Fields","456"
"2","Baseball/Softball Fields","457"
"2","Baseball/Softball Fields","458"
"2","Baseball/Softball Fields","460"
"2","Baseball/Softball Fields","463"
"2","Baseball/Softball Fields","464"
"2","Baseball/Softball Fields","467"
"2","Baseball/Softball Fields","483"
"2","Baseball/Softball Fields","497"
"2","Baseball/Softball Fields","499"
"4","Basketball Courts","1104"
"4","Basketball Courts","114"
"4","Basketball Courts","241"
"4","Basketball Courts","242"
"4","Basketball Courts","248"
"4","Basketball Courts","250"
"4","Basketball Courts","289"
"4","Basketball Courts","303"
"4","Basketball Courts","307"
"4","Basketball Courts","310"
"4","Basketball Courts","342"
"4","Basketball Courts","345"
"4","Basketball Courts","347"
"4","Basketball Courts","350"
"4","Basketball Courts","357"
"4","Basketball Courts","363"
"4","Basketball Courts","371"
"4","Basketball Courts","373"
"4","Basketball Courts","382"
"4","Basketball Courts","3894"
"4","Basketball Courts","390"
"4","Basketball Courts","391"
"4","Basketball Courts","397"
"4","Basketball Courts","3972"
"4","Basketball Courts","400"
"4","Basketball Courts","401"
"4","Basketball Courts","402"
"4","Basketball Courts","403"
"4","Basketball Courts","406"
"4","Basketball Courts","410"
"4","Basketball Courts","418"
"4","Basketball Courts","423"
"4","Basketball Courts","429"
"4","Basketball Courts","431"
"4","Basketball Courts","436"
"4","Basketball Courts","439"
"4","Basketball Courts","444"
"4","Basketball Courts","446"
"4","Basketball Courts","450"
"4","Basketball Courts","456"
"4","Basketball Courts","458"
"4","Basketball Courts","463"
"4","Basketball Courts","482"
"4","Basketball Courts","488"
"4","Basketball Courts","496"
"4","Basketball Courts","499"
"4","Basketball Courts","595"
"11","Dog Off Leash Areas","243"
"11","Dog Off Leash Areas","292"
"11","Dog Off Leash Areas","309"
"11","Dog Off Leash Areas","314"
"11","Dog Off Leash Areas","336"
"11","Dog Off Leash Areas","361"
"11","Dog Off Leash Areas","398"
"11","Dog Off Leash Areas","4000"
"11","Dog Off Leash Areas","409"
"11","Dog Off Leash Areas","433"
"11","Dog Off Leash Areas","4418"
"11","Dog Off Leash Areas","4446"
"11","Dog Off Leash Areas","468"
"11","Dog Off Leash Areas","747"
"12","Drinking fountains","1104"
"12","Drinking fountains","114"
"12","Drinking fountains","240"
"12","Drinking fountains","241"
"12","Drinking fountains","242"
"12","Drinking fountains","243"
"12","Drinking fountains","244"
"12","Drinking fountains","248"
"12","Drinking fountains","249"
"12","Drinking fountains","250"
"12","Drinking fountains","251"
"12","Drinking fountains","2840"
"12","Drinking fountains","286"
"12","Drinking fountains","288"
"12","Drinking fountains","289"
"12","Drinking fountains","292"
"12","Drinking fountains","293"
"12","Drinking fountains","297"
"12","Drinking fountains","304"
"12","Drinking fountains","307"
"12","Drinking fountains","308"
"12","Drinking fountains","309"
"12","Drinking fountains","310"
"12","Drinking fountains","3102"
"12","Drinking fountains","3117"
"12","Drinking fountains","314"
"12","Drinking fountains","317"
"12","Drinking fountains","318"
"12","Drinking fountains","319"
"12","Drinking fountains","321"
"12","Drinking fountains","322"
"12","Drinking fountains","325"
"12","Drinking fountains","326"
"12","Drinking fountains","329"
"12","Drinking fountains","330"
"12","Drinking fountains","331"
"12","Drinking fountains","336"
"12","Drinking fountains","338"
"12","Drinking fountains","340"
"12","Drinking fountains","342"
"12","Drinking fountains","344"
"12","Drinking fountains","345"
"12","Drinking fountains","347"
"12","Drinking fountains","351"
"12","Drinking fountains","352"
"12","Drinking fountains","353"
"12","Drinking fountains","358"
"12","Drinking fountains","361"
"12","Drinking fountains","364"
"12","Drinking fountains","367"
"12","Drinking fountains","369"
"12","Drinking fountains","3694"
"12","Drinking fountains","370"
"12","Drinking fountains","371"
"12","Drinking fountains","373"
"12","Drinking fountains","380"
"12","Drinking fountains","382"
"12","Drinking fountains","3887"
"12","Drinking fountains","3894"
"12","Drinking fountains","3901"
"12","Drinking fountains","391"
"12","Drinking fountains","3910"
"12","Drinking fountains","3913"
"12","Drinking fountains","3917"
"12","Drinking fountains","3920"
"12","Drinking fountains","3922"
"12","Drinking fountains","3941"
"12","Drinking fountains","395"
"12","Drinking fountains","3972"
"12","Drinking fountains","3973"
"12","Drinking fountains","398"
"12","Drinking fountains","3984"
"12","Drinking fountains","3985"
"12","Drinking fountains","399"
"12","Drinking fountains","400"
"12","Drinking fountains","4000"
"12","Drinking fountains","4002"
"12","Drinking fountains","402"
"12","Drinking fountains","404"
"12","Drinking fountains","4075"
"12","Drinking fountains","408"
"12","Drinking fountains","409"
"12","Drinking fountains","410"
"12","Drinking fountains","414"
"12","Drinking fountains","4153"
"12","Drinking fountains","4154"
"12","Drinking fountains","4167"
"12","Drinking fountains","418"
"12","Drinking fountains","419"
"12","Drinking fountains","4201"
"12","Drinking fountains","422"
"12","Drinking fountains","423"
"12","Drinking fountains","4242"
"12","Drinking fountains","426"
"12","Drinking fountains","4263"
"12","Drinking fountains","4278"
"12","Drinking fountains","428"
"12","Drinking fountains","429"
"12","Drinking fountains","431"
"12","Drinking fountains","433"
"12","Drinking fountains","435"
"12","Drinking fountains","436"
"12","Drinking fountains","438"
"12","Drinking fountains","439"
"12","Drinking fountains","440"
"12","Drinking fountains","4408"
"12","Drinking fountains","4425"
"12","Drinking fountains","4427"
"12","Drinking fountains","4433"
"12","Drinking fountains","4438"
"12","Drinking fountains","444"
"12","Drinking fountains","445"
"12","Drinking fountains","4453"
"12","Drinking fountains","4469"
"12","Drinking fountains","4486"
"12","Drinking fountains","449"
"12","Drinking fountains","450"
"12","Drinking fountains","452"
"12","Drinking fountains","454"
"12","Drinking fountains","455"
"12","Drinking fountains","456"
"12","Drinking fountains","457"
"12","Drinking fountains","460"
"12","Drinking fountains","4611"
"12","Drinking fountains","463"
"12","Drinking fountains","467"
"12","Drinking fountains","482"
"12","Drinking fountains","483"
"12","Drinking fountains","488"
"12","Drinking fountains","497"
"12","Drinking fountains","595"
"12","Drinking fountains","9064"
"14","Fire Pits","243"
"14","Fire Pits","445"
"15","Fishing piers","243"
"15","Fishing piers","274"
"15","Fishing piers","307"
"15","Fishing piers","370"
"15","Fishing piers","3973"
"15","Fishing piers","412"
"15","Fishing piers","419"
"15","Fishing piers","428"
"15","Fishing piers","455"
"16","Football Fields","251"
"16","Football Fields","289"
"16","Football Fields","353"
"16","Football Fields","376"
"16","Football Fields","3887"
"16","Football Fields","397"
"16","Football Fields","423"
"16","Football Fields","456"
"16","Football Fields","460"
"16","Football Fields","463"
"16","Football Fields","472"
"20","Gardens","200"
"20","Gardens","3122"
"20","Gardens","324"
"20","Gardens","393"
"20","Gardens","399"
"20","Gardens","415"
"22","Grills","1104"
"22","Grills","240"
"22","Grills","243"
"22","Grills","286"
"22","Grills","292"
"22","Grills","293"
"22","Grills","307"
"22","Grills","317"
"22","Grills","318"
"22","Grills","345"
"22","Grills","347"
"22","Grills","353"
"22","Grills","361"
"22","Grills","370"
"22","Grills","3703"
"22","Grills","382"
"22","Grills","390"
"22","Grills","391"
"22","Grills","3941"
"22","Grills","395"
"22","Grills","398"
"22","Grills","4002"
"22","Grills","402"
"22","Grills","403"
"22","Grills","408"
"22","Grills","409"
"22","Grills","413"
"22","Grills","4154"
"22","Grills","4167"
"22","Grills","4201"
"22","Grills","423"
"22","Grills","4263"
"22","Grills","428"
"22","Grills","429"
"22","Grills","431"
"22","Grills","433"
"22","Grills","436"
"22","Grills","440"
"22","Grills","4426"
"22","Grills","445"
"22","Grills","4461"
"22","Grills","4462"
"22","Grills","4466"
"22","Grills","450"
"22","Grills","458"
"22","Grills","460"
"22","Grills","464"
"22","Grills","467"
"22","Grills","468"
"22","Grills","473"
"22","Grills","705"
"23","Hand Carry Boat Launches","240"
"23","Hand Carry Boat Launches","243"
"23","Hand Carry Boat Launches","295"
"23","Hand Carry Boat Launches","2952"
"23","Hand Carry Boat Launches","2975"
"23","Hand Carry Boat Launches","307"
"23","Hand Carry Boat Launches","344"
"23","Hand Carry Boat Launches","347"
"23","Hand Carry Boat Launches","367"
"23","Hand Carry Boat Launches","377"
"23","Hand Carry Boat Launches","3889"
"23","Hand Carry Boat Launches","393"
"23","Hand Carry Boat Launches","398"
"23","Hand Carry Boat Launches","4040"
"23","Hand Carry Boat Launches","413"
"23","Hand Carry Boat Launches","4155"
"23","Hand Carry Boat Launches","428"
"23","Hand Carry Boat Launches","432"
"23","Hand Carry Boat Launches","440"
"23","Hand Carry Boat Launches","445"
"23","Hand Carry Boat Launches","455"
"23","Hand Carry Boat Launches","460"
"23","Hand Carry Boat Launches","461"
"23","Hand Carry Boat Launches","475"
"23","Hand Carry Boat Launches","705"
"23","Hand Carry Boat Launches","80"
"29","Motorized Boat Launches","243"
"29","Motorized Boat Launches","367"
"29","Motorized Boat Launches","3903"
"29","Motorized Boat Launches","3917"
"29","Motorized Boat Launches","398"
"29","Motorized Boat Launches","4010"
"29","Motorized Boat Launches","4081"
"29","Motorized Boat Launches","4082"
"31","Picnic Sites","1104"
"31","Picnic Sites","114"
"31","Picnic Sites","240"
"31","Picnic Sites","243"
"31","Picnic Sites","292"
"31","Picnic Sites","293"
"31","Picnic Sites","317"
"31","Picnic Sites","323"
"31","Picnic Sites","347"
"31","Picnic Sites","358"
"31","Picnic Sites","361"
"31","Picnic Sites","370"
"31","Picnic Sites","390"
"31","Picnic Sites","391"
"31","Picnic Sites","3917"
"31","Picnic Sites","397"
"31","Picnic Sites","398"
"31","Picnic Sites","403"
"31","Picnic Sites","409"
"31","Picnic Sites","413"
"31","Picnic Sites","4263"
"31","Picnic Sites","428"
"31","Picnic Sites","429"
"31","Picnic Sites","433"
"31","Picnic Sites","436"
"31","Picnic Sites","440"
"31","Picnic Sites","446"
"31","Picnic Sites","460"
"31","Picnic Sites","464"
"31","Picnic Sites","468"
"31","Picnic Sites","473"
"33","Play Area","1104"
"33","Play Area","114"
"33","Play Area","200"
"33","Play Area","240"
"33","Play Area","241"
"33","Play Area","242"
"33","Play Area","243"
"33","Play Area","244"
"33","Play Area","248"
"33","Play Area","249"
"33","Play Area","250"
"33","Play Area","251"
"33","Play Area","281"
"33","Play Area","2840"
"33","Play Area","286"
"33","Play Area","287"
